World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 1.20: Inbound tourism - Arrivals by air - Thousands;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
426;Lesotho;8;12;7;9;9;9;9;9;11;10;11;13;15;15;14;13;12;11;14;..;12;14;12
430;Liberia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
434;Libya;..;..;..;..;..;..;343;309;342;..;..;..;..;..;..;..;..;..;..;..;..;..;..
438;Liechtenstein;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
440;Lithuania;..;106;132;132;138;149;148;161;185;199;320;400;517;579;422;510;605;655;704;736;785;908;..
442;Luxembourg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
446;Macao, China;33;409;537;512;673;834;862;905;655;862;1.040;1.236;1.474;1.665;1.619;1.634;1.682;1.768;1.950;2.055;2.090;2.413;2.745
450;Madagascar;75;83;101;121;138;160;170;62;139;229;277;312;344;375;163;196;225;256;196;222;244;293;255
454;Malawi;54;59;70;75;86;74;84;94;114;114;106;201;232;227;251;224;227;199;220;230;221;233;..
458;Malaysia;1.830;1.680;1.906;1.559;1.933;3.265;2.827;2.434;1.810;1.988;2.846;3.348;4.032;4.883;..;..;..;..;7.096;7.789;7.450;6.192;6.606
462;Maldives;315;339;366;396;430;467;461;485;564;617;395;602;676;683;656;792;931;958;1.125;1.205;1.234;1.286;..
466;Mali;42;98;75;83;82;86;89;96;110;113;143;153;164;..;116;129;130;101;121;152;159;173;193
470;Malta;1.039;973;1.040;1.102;1.143;1.177;1.145;1.098;1.097;1.127;1.151;1.104;1.224;1.270;1.166;1.309;1.375;1.401;1.539;1.641;1.738;1.918;2.227
584;Marshall Islands;6;6;6;6;5;5;5;6;7;7;8;6;7;6;5;5;5;5;..;5;6;5;6
474;Martinique;..;425;464;498;511;475;419;393;384;404;439;465;469;457;418;451;475;462;476;473;462;496;520
478;Mauritania;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
480;Mauritius;416;480;529;541;564;646;650;668;690;708;748;775;895;914;848;911;940;948;980;1.035;1.132;1.247;1.312
484;Mexico;5.626;6.317;6.978;7.086;7.301;7.973;7.662;7.334;7.696;8.870;9.936;10.153;10.617;11.007;8.675;10.619;10.844;11.361;12.221;13.463;15.248;16.878;18.556
583;Micronesia, Federated States Of;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
498;Moldova, Republic Of;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
492;Monaco;..;..;..;..;..;..;169;169;151;168;196;222;230;..;..;..;..;..;..;..;..;..;..
496;Mongolia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
499;Montenegro;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
500;Montserrat;..;..;..;..;..;..;2;2;1;2;6;8;8;7;6;5;4;4;5;4;4;..;..
504;Morocco;1.153;1.277;1.431;1.581;1.853;2.110;2.146;2.095;2.139;2.548;2.986;3.549;4.395;4.792;5.108;6.136;6.254;6.019;6.691;6.950;6.772;6.804;7.619
508;Mozambique;..;..;..;..;..;..;15;55;70;116;156;140;54;109;190;508;604;730;675;739;616;605;..
104;Myanmar;117;172;189;201;198;206;202;215;203;240;230;261;246;191;236;308;385;586;796;1.082;1.221;1.214;1.314
516;Namibia;..;112;121;..;..;..;165;183;167;167;185;217;246;273;..;282;282;291;321;341;377;427;..
