"TIME","GEO","UNIT","TRA_MEAS","SCHEDULE","TRA_COV","Value","Flag and Footnotes"
"2008Q1","Hungary","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Hungary","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Hungary","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Hungary","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Hungary","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Malta","Passenger","Passengers on board","Total","Total transport","539,195",""
"2008Q1","Malta","Passenger","Passengers on board (arrivals)","Total","Total transport","270,440",""
"2008Q1","Malta","Passenger","Passengers on board (departures)","Total","Total transport","268,755",""
"2008Q1","Malta","Passenger","Passengers carried","Total","Total transport","539,195",""
"2008Q1","Malta","Passenger","Passengers carried (arrival)","Total","Total transport","270,440",""
"2008Q1","Malta","Passenger","Passengers carried (departures)","Total","Total transport","268,755",""
"2008Q1","Malta","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Malta","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Malta","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Malta","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Malta","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Malta","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Netherlands","Passenger","Passengers on board","Total","Total transport","10,749,970",""
"2008Q1","Netherlands","Passenger","Passengers on board (arrivals)","Total","Total transport","5,406,348",""
"2008Q1","Netherlands","Passenger","Passengers on board (departures)","Total","Total transport","5,355,888",""
"2008Q1","Netherlands","Passenger","Passengers carried","Total","Total transport","10,708,562",""
"2008Q1","Netherlands","Passenger","Passengers carried (arrival)","Total","Total transport","5,385,105",""
"2008Q1","Netherlands","Passenger","Passengers carried (departures)","Total","Total transport","5,334,645",""
"2008Q1","Netherlands","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Netherlands","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Netherlands","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Netherlands","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Netherlands","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Netherlands","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Austria","Passenger","Passengers on board","Total","Total transport","5,671,397",""
"2008Q1","Austria","Passenger","Passengers on board (arrivals)","Total","Total transport","2,914,232",""
"2008Q1","Austria","Passenger","Passengers on board (departures)","Total","Total transport","2,962,028",""
"2008Q1","Austria","Passenger","Passengers carried","Total","Total transport","5,642,658",""
"2008Q1","Austria","Passenger","Passengers carried (arrival)","Total","Total transport","2,892,593",""
"2008Q1","Austria","Passenger","Passengers carried (departures)","Total","Total transport","2,940,752",""
"2008Q1","Austria","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Austria","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Austria","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Austria","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Austria","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Austria","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Poland","Passenger","Passengers on board","Total","Total transport","3,871,150",""
"2008Q1","Poland","Passenger","Passengers on board (arrivals)","Total","Total transport","1,962,580",""
"2008Q1","Poland","Passenger","Passengers on board (departures)","Total","Total transport","2,086,487",""
"2008Q1","Poland","Passenger","Passengers carried","Total","Total transport","3,873,259",""
"2008Q1","Poland","Passenger","Passengers carried (arrival)","Total","Total transport","1,963,625",""
"2008Q1","Poland","Passenger","Passengers carried (departures)","Total","Total transport","2,087,543",""
"2008Q1","Poland","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Poland","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Poland","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Poland","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Poland","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Poland","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Portugal","Passenger","Passengers on board","Total","Total transport","4,830,914",""
"2008Q1","Portugal","Passenger","Passengers on board (arrivals)","Total","Total transport","2,687,351",""
"2008Q1","Portugal","Passenger","Passengers on board (departures)","Total","Total transport","2,606,331",""
"2008Q1","Portugal","Passenger","Passengers carried","Total","Total transport","4,972,993",""
"2008Q1","Portugal","Passenger","Passengers carried (arrival)","Total","Total transport","2,798,947",""
"2008Q1","Portugal","Passenger","Passengers carried (departures)","Total","Total transport","2,742,817",""
"2008Q1","Portugal","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Portugal","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Portugal","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Portugal","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Portugal","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Portugal","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Romania","Passenger","Passengers on board","Total","Total transport","1,554,271",""
"2008Q1","Romania","Passenger","Passengers on board (arrivals)","Total","Total transport","789,934",""
"2008Q1","Romania","Passenger","Passengers on board (departures)","Total","Total transport","842,956",""
"2008Q1","Romania","Passenger","Passengers carried","Total","Total transport","1,552,905",""
"2008Q1","Romania","Passenger","Passengers carried (arrival)","Total","Total transport","788,735",""
"2008Q1","Romania","Passenger","Passengers carried (departures)","Total","Total transport","842,590",""
"2008Q1","Romania","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Romania","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Romania","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Romania","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Romania","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Romania","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Slovenia","Passenger","Passengers on board","Total","Total transport","307,637",""
"2008Q1","Slovenia","Passenger","Passengers on board (arrivals)","Total","Total transport","158,604",""
"2008Q1","Slovenia","Passenger","Passengers on board (departures)","Total","Total transport","149,033",""
"2008Q1","Slovenia","Passenger","Passengers carried","Total","Total transport","302,471",""
"2008Q1","Slovenia","Passenger","Passengers carried (arrival)","Total","Total transport","153,438",""
"2008Q1","Slovenia","Passenger","Passengers carried (departures)","Total","Total transport","149,033",""
"2008Q1","Slovenia","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Slovenia","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Slovenia","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Slovenia","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Slovenia","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Slovenia","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Slovakia","Passenger","Passengers on board","Total","Total transport","490,126",""
"2008Q1","Slovakia","Passenger","Passengers on board (arrivals)","Total","Total transport","259,013",""
"2008Q1","Slovakia","Passenger","Passengers on board (departures)","Total","Total transport","277,010",""
"2008Q1","Slovakia","Passenger","Passengers carried","Total","Total transport","489,865",""
"2008Q1","Slovakia","Passenger","Passengers carried (arrival)","Total","Total transport","258,910",""
"2008Q1","Slovakia","Passenger","Passengers carried (departures)","Total","Total transport","276,852",""
"2008Q1","Slovakia","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Slovakia","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Slovakia","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Slovakia","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Slovakia","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Slovakia","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Finland","Passenger","Passengers on board","Total","Total transport","3,609,675",""
"2008Q1","Finland","Passenger","Passengers on board (arrivals)","Total","Total transport","2,176,063",""
"2008Q1","Finland","Passenger","Passengers on board (departures)","Total","Total transport","2,210,533",""
"2008Q1","Finland","Passenger","Passengers carried","Total","Total transport","3,609,159",""
"2008Q1","Finland","Passenger","Passengers carried (arrival)","Total","Total transport","2,175,255",""
"2008Q1","Finland","Passenger","Passengers carried (departures)","Total","Total transport","2,209,314",""
"2008Q1","Finland","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Finland","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Finland","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Finland","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Finland","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Finland","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Sweden","Passenger","Passengers on board","Total","Total transport","6,501,849",""
"2008Q1","Sweden","Passenger","Passengers on board (arrivals)","Total","Total transport","4,069,888",""
