"TIME","GEO","UNIT","TRA_MEAS","SCHEDULE","TRA_COV","Value","Flag and Footnotes"
"2011Q3","Norway","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q3","Switzerland","Passenger","Passengers on board","Total","Total transport","11,718,609",""
"2011Q3","Switzerland","Passenger","Passengers on board (arrivals)","Total","Total transport","5,913,865",""
"2011Q3","Switzerland","Passenger","Passengers on board (departures)","Total","Total transport","5,970,437",""
"2011Q3","Switzerland","Passenger","Passengers carried","Total","Total transport","11,686,829",""
"2011Q3","Switzerland","Passenger","Passengers carried (arrival)","Total","Total transport","5,897,193",""
"2011Q3","Switzerland","Passenger","Passengers carried (departures)","Total","Total transport","5,954,861",""
"2011Q3","Switzerland","Flight","Passengers on board","Total","Total transport",":",""
"2011Q3","Switzerland","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q3","Switzerland","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q3","Switzerland","Flight","Passengers carried","Total","Total transport",":",""
"2011Q3","Switzerland","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q3","Switzerland","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q3","Montenegro","Passenger","Passengers on board","Total","Total transport",":",""
"2011Q3","Montenegro","Passenger","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q3","Montenegro","Passenger","Passengers on board (departures)","Total","Total transport",":",""
"2011Q3","Montenegro","Passenger","Passengers carried","Total","Total transport",":",""
"2011Q3","Montenegro","Passenger","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q3","Montenegro","Passenger","Passengers carried (departures)","Total","Total transport",":",""
"2011Q3","Montenegro","Flight","Passengers on board","Total","Total transport",":",""
"2011Q3","Montenegro","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q3","Montenegro","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q3","Montenegro","Flight","Passengers carried","Total","Total transport",":",""
"2011Q3","Montenegro","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q3","Montenegro","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q3","Former Yugoslav Republic of Macedonia, the","Passenger","Passengers on board","Total","Total transport",":",""
"2011Q3","Former Yugoslav Republic of Macedonia, the","Passenger","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q3","Former Yugoslav Republic of Macedonia, the","Passenger","Passengers on board (departures)","Total","Total transport",":",""
"2011Q3","Former Yugoslav Republic of Macedonia, the","Passenger","Passengers carried","Total","Total transport",":",""
"2011Q3","Former Yugoslav Republic of Macedonia, the","Passenger","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q3","Former Yugoslav Republic of Macedonia, the","Passenger","Passengers carried (departures)","Total","Total transport",":",""
"2011Q3","Former Yugoslav Republic of Macedonia, the","Flight","Passengers on board","Total","Total transport",":",""
"2011Q3","Former Yugoslav Republic of Macedonia, the","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q3","Former Yugoslav Republic of Macedonia, the","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q3","Former Yugoslav Republic of Macedonia, the","Flight","Passengers carried","Total","Total transport",":",""
"2011Q3","Former Yugoslav Republic of Macedonia, the","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q3","Former Yugoslav Republic of Macedonia, the","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q3","Serbia","Passenger","Passengers on board","Total","Total transport",":",""
"2011Q3","Serbia","Passenger","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q3","Serbia","Passenger","Passengers on board (departures)","Total","Total transport",":",""
"2011Q3","Serbia","Passenger","Passengers carried","Total","Total transport",":",""
"2011Q3","Serbia","Passenger","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q3","Serbia","Passenger","Passengers carried (departures)","Total","Total transport",":",""
"2011Q3","Serbia","Flight","Passengers on board","Total","Total transport",":",""
"2011Q3","Serbia","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q3","Serbia","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q3","Serbia","Flight","Passengers carried","Total","Total transport",":",""
"2011Q3","Serbia","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q3","Serbia","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Belgium","Passenger","Passengers on board","Total","Total transport","5,807,368",""
"2011Q4","Belgium","Passenger","Passengers on board (arrivals)","Total","Total transport","2,903,016",""
"2011Q4","Belgium","Passenger","Passengers on board (departures)","Total","Total transport","2,906,142",""
"2011Q4","Belgium","Passenger","Passengers carried","Total","Total transport","5,743,035",""
"2011Q4","Belgium","Passenger","Passengers carried (arrival)","Total","Total transport","2,872,007",""
"2011Q4","Belgium","Passenger","Passengers carried (departures)","Total","Total transport","2,872,085",""
"2011Q4","Belgium","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Belgium","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Belgium","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Belgium","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Belgium","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Belgium","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Bulgaria","Passenger","Passengers on board","Total","Total transport","860,313",""
"2011Q4","Bulgaria","Passenger","Passengers on board (arrivals)","Total","Total transport","439,219",""
"2011Q4","Bulgaria","Passenger","Passengers on board (departures)","Total","Total transport","445,528",""
"2011Q4","Bulgaria","Passenger","Passengers carried","Total","Total transport","859,712",""
"2011Q4","Bulgaria","Passenger","Passengers carried (arrival)","Total","Total transport","438,767",""
"2011Q4","Bulgaria","Passenger","Passengers carried (departures)","Total","Total transport","445,076",""
"2011Q4","Bulgaria","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Bulgaria","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Bulgaria","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Bulgaria","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Bulgaria","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Bulgaria","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Czechia","Passenger","Passengers on board","Total","Total transport","2,692,856",""
"2011Q4","Czechia","Passenger","Passengers on board (arrivals)","Total","Total transport","1,370,472",""
"2011Q4","Czechia","Passenger","Passengers on board (departures)","Total","Total transport","1,322,384",""
"2011Q4","Czechia","Passenger","Passengers carried","Total","Total transport","2,674,772",""
"2011Q4","Czechia","Passenger","Passengers carried (arrival)","Total","Total transport","1,361,467",""
"2011Q4","Czechia","Passenger","Passengers carried (departures)","Total","Total transport","1,313,305",""
"2011Q4","Czechia","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Czechia","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Czechia","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Czechia","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Czechia","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Czechia","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Denmark","Passenger","Passengers on board","Total","Total transport","6,077,239",""
"2011Q4","Denmark","Passenger","Passengers on board (arrivals)","Total","Total transport","3,295,410",""
"2011Q4","Denmark","Passenger","Passengers on board (departures)","Total","Total transport","3,306,074",""
"2011Q4","Denmark","Passenger","Passengers carried","Total","Total transport","6,043,027",""
"2011Q4","Denmark","Passenger","Passengers carried (arrival)","Total","Total transport","3,275,302",""
"2011Q4","Denmark","Passenger","Passengers carried (departures)","Total","Total transport","3,285,919",""
"2011Q4","Denmark","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Denmark","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Denmark","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Denmark","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Denmark","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Denmark","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Germany (until 1990 former territory of the FRG)","Passenger","Passengers on board","Total","Total transport","42,202,132",""
"2011Q4","Germany (until 1990 former territory of the FRG)","Passenger","Passengers on board (arrivals)","Total","Total transport","24,594,453",""
"2011Q4","Germany (until 1990 former territory of the FRG)","Passenger","Passengers on board (departures)","Total","Total transport","23,917,911",""
"2011Q4","Germany (until 1990 former territory of the FRG)","Passenger","Passengers carried","Total","Total transport","41,760,813",""
"2011Q4","Germany (until 1990 former territory of the FRG)","Passenger","Passengers carried (arrival)","Total","Total transport","24,337,992",""
"2011Q4","Germany (until 1990 former territory of the FRG)","Passenger","Passengers carried (departures)","Total","Total transport","23,661,378",""
"2011Q4","Germany (until 1990 former territory of the FRG)","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Germany (until 1990 former territory of the FRG)","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Germany (until 1990 former territory of the FRG)","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Germany (until 1990 former territory of the FRG)","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Germany (until 1990 former territory of the FRG)","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Germany (until 1990 former territory of the FRG)","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Estonia","Passenger","Passengers on board","Total","Total transport","473,791",""
"2011Q4","Estonia","Passenger","Passengers on board (arrivals)","Total","Total transport","237,045",""
"2011Q4","Estonia","Passenger","Passengers on board (departures)","Total","Total transport","236,746",""
"2011Q4","Estonia","Passenger","Passengers carried","Total","Total transport","473,791",""
"2011Q4","Estonia","Passenger","Passengers carried (arrival)","Total","Total transport","237,045",""
"2011Q4","Estonia","Passenger","Passengers carried (departures)","Total","Total transport","236,746",""
"2011Q4","Estonia","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Estonia","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Estonia","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Estonia","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Estonia","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Estonia","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Ireland","Passenger","Passengers on board","Total","Total transport","4,958,435",""
"2011Q4","Ireland","Passenger","Passengers on board (arrivals)","Total","Total transport","2,486,525",""
"2011Q4","Ireland","Passenger","Passengers on board (departures)","Total","Total transport","2,481,234",""
"2011Q4","Ireland","Passenger","Passengers carried","Total","Total transport","5,006,797",""
"2011Q4","Ireland","Passenger","Passengers carried (arrival)","Total","Total transport","2,509,805",""
"2011Q4","Ireland","Passenger","Passengers carried (departures)","Total","Total transport","2,505,679",""
"2011Q4","Ireland","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Ireland","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Ireland","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Ireland","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Ireland","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Ireland","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Greece","Passenger","Passengers on board","Total","Total transport","4,826,876",""
"2011Q4","Greece","Passenger","Passengers on board (arrivals)","Total","Total transport","2,709,377",""
"2011Q4","Greece","Passenger","Passengers on board (departures)","Total","Total transport","3,239,953",""
"2011Q4","Greece","Passenger","Passengers carried","Total","Total transport","4,826,880",""
"2011Q4","Greece","Passenger","Passengers carried (arrival)","Total","Total transport","2,709,377",""
"2011Q4","Greece","Passenger","Passengers carried (departures)","Total","Total transport","3,239,953",""
"2011Q4","Greece","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Greece","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Greece","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Greece","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Greece","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Greece","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Spain","Passenger","Passengers on board","Total","Total transport","35,395,916",""
"2011Q4","Spain","Passenger","Passengers on board (arrivals)","Total","Total transport","21,744,391",""
"2011Q4","Spain","Passenger","Passengers on board (departures)","Total","Total transport","22,144,510",""
"2011Q4","Spain","Passenger","Passengers carried","Total","Total transport","35,279,882",""
"2011Q4","Spain","Passenger","Passengers carried (arrival)","Total","Total transport","21,625,311",""
"2011Q4","Spain","Passenger","Passengers carried (departures)","Total","Total transport","22,149,361",""
"2011Q4","Spain","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Spain","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Spain","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Spain","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Spain","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Spain","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","France","Passenger","Passengers on board","Total","Total transport","29,273,744",""
"2011Q4","France","Passenger","Passengers on board (arrivals)","Total","Total transport","17,870,597",""
"2011Q4","France","Passenger","Passengers on board (departures)","Total","Total transport","18,032,278",""
"2011Q4","France","Passenger","Passengers carried","Total","Total transport","29,074,224",""
"2011Q4","France","Passenger","Passengers carried (arrival)","Total","Total transport","17,717,767",""
"2011Q4","France","Passenger","Passengers carried (departures)","Total","Total transport","17,885,647",""
"2011Q4","France","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","France","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","France","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","France","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","France","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","France","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Croatia","Passenger","Passengers on board","Total","Total transport","758,120",""
"2011Q4","Croatia","Passenger","Passengers on board (arrivals)","Total","Total transport","413,920",""
"2011Q4","Croatia","Passenger","Passengers on board (departures)","Total","Total transport","454,023",""
"2011Q4","Croatia","Passenger","Passengers carried","Total","Total transport","747,473",""
"2011Q4","Croatia","Passenger","Passengers carried (arrival)","Total","Total transport","403,854",""
"2011Q4","Croatia","Passenger","Passengers carried (departures)","Total","Total transport","443,957",""
"2011Q4","Croatia","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Croatia","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Croatia","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Croatia","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Croatia","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Croatia","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Italy","Passenger","Passengers on board","Total","Total transport","25,985,399",""
"2011Q4","Italy","Passenger","Passengers on board (arrivals)","Total","Total transport","16,567,645",""
"2011Q4","Italy","Passenger","Passengers on board (departures)","Total","Total transport","16,948,375",""
"2011Q4","Italy","Passenger","Passengers carried","Total","Total transport","25,729,042",""
"2011Q4","Italy","Passenger","Passengers carried (arrival)","Total","Total transport","16,326,237",""
"2011Q4","Italy","Passenger","Passengers carried (departures)","Total","Total transport","16,879,406",""
"2011Q4","Italy","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Italy","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Italy","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Italy","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Italy","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Italy","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Cyprus","Passenger","Passengers on board","Total","Total transport","1,425,668",""
"2011Q4","Cyprus","Passenger","Passengers on board (arrivals)","Total","Total transport","671,699",""
"2011Q4","Cyprus","Passenger","Passengers on board (departures)","Total","Total transport","754,638",""
"2011Q4","Cyprus","Passenger","Passengers carried","Total","Total transport","1,420,974",""
"2011Q4","Cyprus","Passenger","Passengers carried (arrival)","Total","Total transport","669,059",""
"2011Q4","Cyprus","Passenger","Passengers carried (departures)","Total","Total transport","751,998",""
"2011Q4","Cyprus","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Cyprus","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Cyprus","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Cyprus","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Cyprus","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Cyprus","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Latvia","Passenger","Passengers on board","Total","Total transport","1,124,472",""
"2011Q4","Latvia","Passenger","Passengers on board (arrivals)","Total","Total transport","566,880",""
"2011Q4","Latvia","Passenger","Passengers on board (departures)","Total","Total transport","557,592",""
"2011Q4","Latvia","Passenger","Passengers carried","Total","Total transport","1,120,774",""
"2011Q4","Latvia","Passenger","Passengers carried (arrival)","Total","Total transport","566,880",""
"2011Q4","Latvia","Passenger","Passengers carried (departures)","Total","Total transport","553,894",""
"2011Q4","Latvia","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Latvia","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Latvia","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Latvia","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Latvia","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Latvia","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Lithuania","Passenger","Passengers on board","Total","Total transport","678,677",""
"2011Q4","Lithuania","Passenger","Passengers on board (arrivals)","Total","Total transport","347,458",""
"2011Q4","Lithuania","Passenger","Passengers on board (departures)","Total","Total transport","331,219",""
"2011Q4","Lithuania","Passenger","Passengers carried","Total","Total transport","674,837",""
"2011Q4","Lithuania","Passenger","Passengers carried (arrival)","Total","Total transport","345,538",""
"2011Q4","Lithuania","Passenger","Passengers carried (departures)","Total","Total transport","329,299",""
"2011Q4","Lithuania","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Lithuania","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Lithuania","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Lithuania","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Lithuania","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Lithuania","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Luxembourg","Passenger","Passengers on board","Total","Total transport","408,777",""
"2011Q4","Luxembourg","Passenger","Passengers on board (arrivals)","Total","Total transport","203,510",""
"2011Q4","Luxembourg","Passenger","Passengers on board (departures)","Total","Total transport","205,407",""
"2011Q4","Luxembourg","Passenger","Passengers carried","Total","Total transport","408,777",""
"2011Q4","Luxembourg","Passenger","Passengers carried (arrival)","Total","Total transport","203,510",""
"2011Q4","Luxembourg","Passenger","Passengers carried (departures)","Total","Total transport","205,407",""
"2011Q4","Luxembourg","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Luxembourg","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Luxembourg","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Luxembourg","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Luxembourg","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Luxembourg","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Hungary","Passenger","Passengers on board","Total","Total transport","2,114,692",""
"2011Q4","Hungary","Passenger","Passengers on board (arrivals)","Total","Total transport","1,061,210",""
"2011Q4","Hungary","Passenger","Passengers on board (departures)","Total","Total transport","1,053,482",""
"2011Q4","Hungary","Passenger","Passengers carried","Total","Total transport","2,114,692",""
"2011Q4","Hungary","Passenger","Passengers carried (arrival)","Total","Total transport","1,061,210",""
"2011Q4","Hungary","Passenger","Passengers carried (departures)","Total","Total transport","1,053,482",""
"2011Q4","Hungary","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Hungary","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Hungary","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Hungary","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Hungary","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Hungary","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Malta","Passenger","Passengers on board","Total","Total transport","724,595",""
"2011Q4","Malta","Passenger","Passengers on board (arrivals)","Total","Total transport","350,923",""
"2011Q4","Malta","Passenger","Passengers on board (departures)","Total","Total transport","373,720",""
"2011Q4","Malta","Passenger","Passengers carried","Total","Total transport","724,595",""
"2011Q4","Malta","Passenger","Passengers carried (arrival)","Total","Total transport","350,923",""
"2011Q4","Malta","Passenger","Passengers carried (departures)","Total","Total transport","373,720",""
"2011Q4","Malta","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Malta","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Malta","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Malta","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Malta","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Malta","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Netherlands","Passenger","Passengers on board","Total","Total transport","12,670,807",""
"2011Q4","Netherlands","Passenger","Passengers on board (arrivals)","Total","Total transport","6,340,948",""
"2011Q4","Netherlands","Passenger","Passengers on board (departures)","Total","Total transport","6,331,181",""
"2011Q4","Netherlands","Passenger","Passengers carried","Total","Total transport","12,614,387",""
"2011Q4","Netherlands","Passenger","Passengers carried (arrival)","Total","Total transport","6,312,090",""
"2011Q4","Netherlands","Passenger","Passengers carried (departures)","Total","Total transport","6,302,324",""
"2011Q4","Netherlands","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Netherlands","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Netherlands","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Netherlands","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Netherlands","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Netherlands","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Austria","Passenger","Passengers on board","Total","Total transport","5,868,100",""
"2011Q4","Austria","Passenger","Passengers on board (arrivals)","Total","Total transport","3,026,451",""
"2011Q4","Austria","Passenger","Passengers on board (departures)","Total","Total transport","3,001,015",""
"2011Q4","Austria","Passenger","Passengers carried","Total","Total transport","5,835,545",""
"2011Q4","Austria","Passenger","Passengers carried (arrival)","Total","Total transport","3,006,202",""
"2011Q4","Austria","Passenger","Passengers carried (departures)","Total","Total transport","2,979,417",""
"2011Q4","Austria","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Austria","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Austria","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Austria","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Austria","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Austria","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Poland","Passenger","Passengers on board","Total","Total transport","4,571,547",""
"2011Q4","Poland","Passenger","Passengers on board (arrivals)","Total","Total transport","2,482,997",""
"2011Q4","Poland","Passenger","Passengers on board (departures)","Total","Total transport","2,382,961",""
"2011Q4","Poland","Passenger","Passengers carried","Total","Total transport","4,552,208",""
"2011Q4","Poland","Passenger","Passengers carried (arrival)","Total","Total transport","2,478,413",""
"2011Q4","Poland","Passenger","Passengers carried (departures)","Total","Total transport","2,364,333",""
"2011Q4","Poland","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Poland","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Poland","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Poland","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Poland","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Poland","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Portugal","Passenger","Passengers on board","Total","Total transport","5,703,763",""
"2011Q4","Portugal","Passenger","Passengers on board (arrivals)","Total","Total transport","3,076,375",""
"2011Q4","Portugal","Passenger","Passengers on board (departures)","Total","Total transport","3,117,677",""
"2011Q4","Portugal","Passenger","Passengers carried","Total","Total transport","5,773,390",""
"2011Q4","Portugal","Passenger","Passengers carried (arrival)","Total","Total transport","3,125,417",""
"2011Q4","Portugal","Passenger","Passengers carried (departures)","Total","Total transport","3,162,388",""
"2011Q4","Portugal","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Portugal","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Portugal","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Portugal","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Portugal","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Portugal","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Romania","Passenger","Passengers on board","Total","Total transport","2,229,461",""
"2011Q4","Romania","Passenger","Passengers on board (arrivals)","Total","Total transport","1,170,387",""
"2011Q4","Romania","Passenger","Passengers on board (departures)","Total","Total transport","1,169,437",""
"2011Q4","Romania","Passenger","Passengers carried","Total","Total transport","2,208,580",""
"2011Q4","Romania","Passenger","Passengers carried (arrival)","Total","Total transport","1,160,165",""
"2011Q4","Romania","Passenger","Passengers carried (departures)","Total","Total transport","1,154,904",""
"2011Q4","Romania","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Romania","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Romania","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Romania","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Romania","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Romania","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Slovenia","Passenger","Passengers on board","Total","Total transport","267,826",""
"2011Q4","Slovenia","Passenger","Passengers on board (arrivals)","Total","Total transport","133,372",""
"2011Q4","Slovenia","Passenger","Passengers on board (departures)","Total","Total transport","134,454",""
"2011Q4","Slovenia","Passenger","Passengers carried","Total","Total transport","267,630",""
"2011Q4","Slovenia","Passenger","Passengers carried (arrival)","Total","Total transport","133,176",""
"2011Q4","Slovenia","Passenger","Passengers carried (departures)","Total","Total transport","134,454",""
"2011Q4","Slovenia","Flight","Passengers on board","Total","Total transport",":",""
"2011Q4","Slovenia","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2011Q4","Slovenia","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2011Q4","Slovenia","Flight","Passengers carried","Total","Total transport",":",""
"2011Q4","Slovenia","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2011Q4","Slovenia","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2011Q4","Slovakia","Passenger","Passengers on board","Total","Total transport","294,387",""
