World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 3.6: Outbound tourism - Expenditure - passenger transport - US$ Million;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
474;Martinique;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
478;Mauritania;7;5;5;5;..;..;..;..;..;..;..;..;..;..;..;..;..;42;47;50;30;33;32
480;Mauritius;25;26;21;18;23;21;18;19;20;22;20;20;27;37;30;25;27;28;20;22;69;67;64
484;Mexico;416;576;662;625;651;866;983;1.027;999;1.075;1.351;1.279;1.456;1.678;1.530;1.746;1.872;2.286;2.848;2.950;2.570;2.520;2.808
583;Micronesia, Federated States Of;..;..;..;..;..;..;..;..;..;..;..;..;..;..;16;16;15;17;17;17;..;..;..
498;Moldova, Republic Of;17;25;10;14;12;13;15;14;19;22;29;34;57;71;64;57;72;88;93;97;85;76;79
492;Monaco;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
496;Mongolia;2;18;5;5;4;3;4;6;6;14;16;24;22;32;32;54;64;73;63;56;51;54;85
499;Montenegro;..;..;..;..;..;..;..;..;..;..;..;..;21;37;27;26;31;28;33;32;24;25;24
500;Montserrat;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
504;Morocco;54;53;48;73;126;81;200;225;297;338;387;420;538;820;607;676;897;842;684;817;753;852;1.036
508;Mozambique;..;..;..;..;4;14;18;2;1;6;11;17;29;33;35;31;34;61;72;78;99;45;46
104;Myanmar;..;..;5;4;5;5;5;5;4;3;3;3;3;1;..;..;9;8;16;82;121;164;31
516;Namibia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;5;7;9;5;6;17;9;10;7
520;Nauru;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
524;Nepal;31;30;38;29;45;36;48;39;38;51;58;76;128;164;138;126;100;149;176;176;142;47;103
528;Netherlands;1.477;1.433;1.328;1.469;1.439;1.458;1.067;1.225;622;589;..;..;..;..;..;..;..;316;311;2.563;2.196;2.391;2.531
540;New Caledonia;..;..;..;..;..;..;..;..;..;..;..;..;..;186;160;164;180;177;169;159;108;99;..
554;New Zealand;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
558;Nicaragua;16;19;21;24;36;48;52;56;64;65;71;88;111;121;122;104;102;105;125;118;117;129;150
562;Niger;13;14;12;4;4;6;7;12;17;20;12;14;19;30;30;3;17;96;34;44;70;36;..
566;Nigeria;32;14;24;22;20;19;27;29;281;..;261;257;1.075;1.230;1.224;2.782;2.935;3.099;3.288;3.362;3.495;3.443;2.393
570;Niue;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
580;Northern Mariana Islands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
578;Norway;249;268;308;346;291;292;308;421;373;405;722;552;1.135;1.018;1.120;1.186;1.135;1.528;1.651;1.627;1.187;1.227;1.247
512;Oman;..;..;..;146;142;158;185;172;174;179;195;182;200;341;393;242;325;362;398;426;439;505;580
586;Pakistan;208;223;238;208;263;324;303;236;238;344;473;484;482;645;413;445;727;437;555;844;984;1.053;1.204
585;Palau;..;..;..;..;..;5;7;10;9;9;10;9;9;11;10;9;9;9;8;8;9;10;..
