World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 4.5: Tourism industries - Number of establishments: passenger transportation - Units;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
270;Gambia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
268;Georgia;..;..;..;..;..;152;173;187;172;156;679;609;510;465;397;369;497;..;..;..;..;..;..
280;Germany;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;27.641;26.256;25.694;27.020;29.645;30.494;33.388;..
288;Ghana;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
300;Greece;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
308;Grenada;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
312;Guadeloupe;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
316;Guam;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
320;Guatemala;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
324;Guinea;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
624;Guinea-Bissau;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
328;Guyana;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
332;Haiti;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
340;Honduras;..;..;..;..;..;..;..;..;..;..;..;..;261;..;..;..;..;..;..;121;145;..;..
344;Hong Kong, China;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
348;Hungary;..;..;..;..;..;..;..;..;..;..;..;..;..;..;10.901;10.970;11.053;10.763;10.584;10.516;10.263;10.360;10.943
352;Iceland;..;..;..;..;..;..;..;..;..;..;..;..;..;9;8;8;9;..;..;..;..;..;..
356;India;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
360;Indonesia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
364;Iran, Islamic Republic Of;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
368;Iraq;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
372;Ireland;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
376;Israel;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.200;..;..;..;..
380;Italy;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
388;Jamaica;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
392;Japan;..;..;..;..;..;..;..;..;..;..;..;..;..;..;41.825;..;..;..;..;..;..;..;..
400;Jordan;..;..;..;..;..;..;..;..;..;..;3;4;6;7;8;8;8;8;8;8;8;8;8
398;Kazakhstan;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
404;Kenya;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
296;Kiribati;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
408;Korea, Democratic People'S Republic Of;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
410;Korea, Republic Of;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;329.889;364.209;371.639;378.884;379.431;..;..
414;Kuwait;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
417;Kyrgyzstan;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
418;Lao People'S Democratic Republic;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
428;Latvia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
422;Lebanon;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
426;Lesotho;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
