World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 4.1: Tourism industries - Total number of establishments - Units;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
308;Grenada;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
312;Guadeloupe;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
316;Guam;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
320;Guatemala;..;..;..;..;..;..;..;..;..;..;..;3.063;3.224;3.293;3.289;3.363;3.390;3.395;3.506;3.423;3.513;4.039;4.124
324;Guinea;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
624;Guinea-Bissau;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
328;Guyana;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
332;Haiti;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
340;Honduras;..;..;..;..;..;..;..;..;..;..;..;..;7.753;..;..;..;..;..;..;3.440;3.785;..;..
344;Hong Kong, China;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
348;Hungary;2.221;2.524;2.586;2.711;2.773;2.965;3.044;3.377;3.517;3.001;60.540;60.737;61.311;60.726;72.097;162.072;167.878;169.739;172.648;175.010;175.125;177.413;176.413
352;Iceland;..;..;..;..;..;532;531;545;559;573;613;595;721;1.653;1.743;1.837;1.904;..;..;..;..;..;..
356;India;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
360;Indonesia;..;..;..;..;..;..;..;..;..;..;..;..;17.013;18.694;19.391;20.865;22.189;..;..;..;..;..;..
364;Iran, Islamic Republic Of;..;..;..;..;..;..;..;..;..;..;..;..;..;..;6.814;7.629;8.725;8.958;9.215;..;..;..;..
368;Iraq;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
372;Ireland;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
376;Israel;..;..;..;..;..;..;..;..;..;..;..;..;..;18.919;17.961;18.811;18.490;18.037;20.050;15.985;16.005;16.723;16.906
380;Italy;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
388;Jamaica;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
392;Japan;..;..;..;..;..;..;..;..;..;..;..;..;..;..;860.729;..;62.961;61.063;61.300;60.103;59.863;59.330;..
400;Jordan;..;..;..;..;..;..;..;..;..;..;1.663;1.797;1.978;2.122;2.207;2.366;2.415;2.502;2.717;2.758;3.089;3.143;3.099
398;Kazakhstan;..;..;..;..;..;..;..;..;..;..;..;1.386;1.476;2.376;20.507;22.657;22.552;23.728;27.108;28.771;25.207;27.185;22.089
404;Kenya;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
296;Kiribati;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;48;..;..
408;Korea, Democratic People'S Republic Of;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
410;Korea, Republic Of;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;714.124;759.578;773.314;788.000;797.020;..;..
414;Kuwait;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
417;Kyrgyzstan;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
418;Lao People'S Democratic Republic;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.867;2.059;2.162;3.801;4.393;4.037;4.481;5.877;5.516
428;Latvia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
422;Lebanon;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;7.580;7.704;6.004;6.014;5.712;5.708;5.659;..
426;Lesotho;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
430;Liberia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
434;Libya;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
438;Liechtenstein;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
440;Lithuania;754;671;757;810;837;824;805;3.215;3.253;3.427;3.565;4.853;6.108;6.121;5.833;5.760;6.135;6.185;..;..;..;..;..
442;Luxembourg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
446;Macao, China;..;..;..;..;..;..;..;..;..;..;..;2.111;2.565;2.743;2.784;2.826;2.904;2.946;3.336;3.644;3.997;4.144;..
450;Madagascar;634;672;711;761;887;1.014;1.108;1.239;1.321;1.442;1.646;1.770;2.006;2.153;2.298;2.540;2.712;3.290;3.607;3.757;3.981;4.190;..
454;Malawi;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
458;Malaysia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;177.668;..;..;..;..;..;..;..
462;Maldives;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
466;Mali;..;..;..;..;..;..;..;..;..;..;..;..;..;668;735;859;950;974;997;1.069;1.231;1.483;1.632
470;Malta;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
584;Marshall Islands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
474;Martinique;..;..;..;..;..;..;..;..;..;..;..;..;2.207;..;2.207;2.207;2.510;2.510;2.510;2.507;..;..;..
478;Mauritania;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
480;Mauritius;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
484;Mexico;..;..;..;..;..;..;..;..;43.834;47.572;48.996;50.619;52.976;55.937;58.001;61.869;63.508;65.881;64.803;79.228;99.984;108.908;..
583;Micronesia, Federated States Of;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
